closed_at,symbol,side,analyst,outcome,posted_entry,posted_stop,entry_price,entry_matches_posted,exit_price,exit_reached,move_pct,r_multiple,trade_id,signal_id,stop_used,follower_r,follower_move_pct,cost_r,entry_bps,exit_bps
"2026-09-05T22:20:14.357000Z","BICOUSDT","LONG","SaltWayer","win",,"0.02148","0.022435","false","0.02448","TP2","9.12","2.14","aea41122-8c40-40e0-a451-2baceea10c98","AXN-2026-09-04-00360","0.02148","2.12","9.02","0.02","7.5","2"
"2026-09-04T17:29:59.999000Z","KGENUSDT","LONG","Pipfessor","win","0.1745","0.167","0.1792","false","0.1849","PARTIAL","3.18","0.47","ebe1ec69-58db-47eb-a64d-fe1dbfd6666d","AXN-2026-09-04-00359","0.167","0.46","3.08","0.01","2","7.5"
"2026-09-04T14:48:59.999000Z","XLMUSDT","LONG","Belovy","win",,"0.165","0.1777","false","0.188","TP2","5.8","0.81","6ec0483b-9698-4f4c-8910-a50d67547d33","AXN-2026-09-01-00344","0.165","0.8","5.7","0.01","7.5","2"
"2026-09-04T14:43:32.197000Z","ZKPUSDT","SHORT","Electron","win","0.04914","0.05235","0.04914","true","0.04704","PARTIAL","4.27","0.65","96837868-9583-48a5-a991-15dbf1922f34","AXN-2026-09-01-00341","0.05235","0.64","4.18","0.01","2","7.5"
"2026-09-04T12:32:59.999000Z","NEIROUSDT","LONG","Electron","win","0.00008347","0.00007678","0.00008347","true","0.00009262","PARTIAL","10.96","1.37","f53577ab-5a1b-4492-9c44-41fc5a20aba1","AXN-2026-09-01-00343","0.00007678","1.36","10.86","0.01","2","7.5"
"2026-09-04T03:15:59.999000Z","BRETTUSDT","LONG","Electron","win","0.004947","0.00458","0.004947","true","0.005232","PARTIAL","5.76","0.78","b450d31c-6ac7-4c93-96fb-7035258e09aa","AXN-2026-09-02-00346","0.00458","0.77","5.66","0.01","2","7.5"
"2026-09-03T22:33:59.999000Z","PEOPLEUSDT","LONG","SaltWayer","win",,"0.00781","0.00809","false","0.008382","TP1","3.61","1.04","1d913a7b-a994-4ff1-b9b2-ed8ddb1d37af","AXN-2026-09-03-00353","0.00781","1.01","3.51","0.03","7.5","2"
"2026-09-03T22:07:34.483000Z","BTCUSDT","LONG","Triggerxbt","win",,"75540","77405.9","false","81443","CLOSE","5.22","2.16","79fbdae6-084f-4246-bf7f-c7ff8d7683ff","AXN-2026-09-01-00345","75540","2.1","5.07","0.06","7.5","7.5"
"2026-09-03T20:29:59.999000Z","XRPUSDT","SHORT","Thmassz","loss",,"1.4826","1.3707","false","1.4826","SL","-8.16","-1","cdeb1c48-c305-4662-b73e-b92e47d4f371","AXN-2026-08-26-00315","1.4826","-1.02","-8.35","0.02","7.5","10.5"
"2026-09-03T12:53:59.999000Z","BTCUSDT","SHORT","Triggerxbt","win","78000","81000","78496.8","false","76554.2","PARTIAL","2.47","0.78","94242d4d-3115-47cc-9088-4d3859ec65a0","AXN-2026-08-29-00330","81000","0.75","2.38","0.03","2","7.5"
"2026-09-02T09:23:59.999000Z","AAVEUSDT","LONG","Thmassz","win",,"120.05","126.96","false","132.67","TP1","4.5","0.83","e5b41be7-35ae-4452-ba3a-c478e6225c06","AXN-2026-08-26-00311","120.05","0.81","4.4","0.02","7.5","2"
"2026-09-02T08:45:59.999000Z","DOTUSDT","LONG","gaijin","win","0.8547","0.74","0.8547","true","0.8852","TP1","3.57","0.27","7f1b26c4-a279-4547-bd18-d504b1943309","AXN-2026-09-01-00342","0.74","0.27","3.53","0","2","2"
